environment,routine_prepwork,rush_things,toolbox_talks,safe_office,office_hazards_reviewed,familiar_risks,safety_mission_engagement
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,Yes,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Services,Yes,Yes,Very frequently,No response,No response,No response,No response
Services,Yes,Yes,Very frequently,No response,No response,No response,No response
Services,Yes,Yes,Sometimes,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Services,Yes,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,Yes,Yes,Sometimes,No response,No response,No response,No response
Services,No,No,Sometimes,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Manufacturing,No,Yes,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Manufacturing,Yes,No,Sometimes,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,Yes,Yes,Very frequently,No response,No response,No response,No response
Services,No,Yes,Very frequently,No response,No response,No response,No response
Services,Yes,No,Frequently,No response,No response,No response,No response
Services,No,Yes,Frequently,No response,No response,No response,No response
Services,No,Yes,Very frequently,No response,No response,No response,No response
Services,Yes,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,Yes,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Project,No,No,Before ever job task,No response,No response,No response,No response
Project,No,Yes,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Project,No,No,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Project,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,Yes,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Project,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,Yes,No,Very frequently,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Not familiar,Yes
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,Yes,Not familiar,Yes
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Project,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,Yes,Yes,Frequently,No response,No response,No response,No response
Project,No,Yes,Frequently,No response,No response,No response,No response
Project,No,Yes,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,Yes,Yes,Sometimes,No response,No response,No response,No response
Services,Yes,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,Yes,Yes,Frequently,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Project,Yes,Yes,Frequently,No response,No response,No response,No response
Services,No,Yes,Frequently,No response,No response,No response,No response
Services,No,No,Sometimes,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,No,Yes,Sometimes,No response,No response,No response,No response
Services,Yes,No,Before ever job task,No response,No response,No response,No response
Project,No,Yes,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,Yes,No,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Never,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Services,No,Yes,Sometimes,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,Yes,Sometimes,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,Yes,Sometimes,No response,No response,No response,No response
Services,No,Yes,Frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,Yes
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,Yes,Frequently,No response,No response,No response,No response
Services,Yes,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,Yes,Very frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,Yes,No,Very frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Sometimes,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,Yes,Sometimes,No response,No response,No response,No response
Services,No,Yes,Sometimes,No response,No response,No response,No response
Services,Yes,Yes,Very frequently,No response,No response,No response,No response
Services,Yes,No,Sometimes,No response,No response,No response,No response
Services,Yes,Yes,Very frequently,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Never,No response,No response,No response,No response
Services,No,Yes,Very frequently,No response,No response,No response,No response
Services,Yes,Yes,Before ever job task,No response,No response,No response,No response
Services,Yes,Yes,Sometimes,No response,No response,No response,No response
Services,Yes,Yes,Frequently,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Services,Yes,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Project,Yes,Yes,Sometimes,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Project,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Frequently,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Very frequently,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,Yes,No,Frequently,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,Yes,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,Yes,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Services,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Project,No,No,Very frequently,No response,No response,No response,No response
Project,No,No,Frequently,No response,No response,No response,No response
Services,No,Yes,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,Yes,Yes,Frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,Yes,Yes,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,Yes,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,Yes,Sometimes,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Manufacturing,Yes,Yes,Sometimes,No response,No response,No response,No response
Manufacturing,No,Yes,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,No
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,No
Office,No response,No response,No response,Yes,No,Somewhat familiar,No
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,Yes,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Manufacturing,No,Yes,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,Yes,Yes,Sometimes,No response,No response,No response,No response
Manufacturing,No,Yes,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,Yes,Yes,Sometimes,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,Yes,Yes,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Manufacturing,Yes,Yes,Sometimes,No response,No response,No response,No response
Manufacturing,No,Yes,Never,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,Yes,Frequently,No response,No response,No response,No response
Manufacturing,Yes,No,Before ever job task,No response,No response,No response,No response
Manufacturing,Yes,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Never,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,Yes,Yes,Never,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Never,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Services,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,Yes
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Project,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Services,Yes,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,Yes,Yes,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Project,No,No,Frequently,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,Yes,Yes,Very frequently,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,Yes
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,No
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,Yes,Yes,Frequently,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,Yes,Never,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Manufacturing,No,Yes,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,No
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Project,Yes,Yes,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,Yes
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,Yes
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,Yes,No,Never,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Project,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Frequently,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Services,Yes,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Project,No,Yes,Frequently,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Services,No,No,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Project,Yes,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Project,No,Yes,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,No
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Project,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,Yes,Very frequently,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Never,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,No
Manufacturing,No,No,Sometimes,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Project,No,No,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Manufacturing,Yes,No,Frequently,No response,No response,No response,No response
Services,No,Yes,Very frequently,No response,No response,No response,No response
Services,No,No,Sometimes,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Services,No,Yes,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,Yes
Project,Yes,No,Sometimes,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Office,No response,No response,No response,Yes,No,Familiar,Yes
Project,No,No,Frequently,No response,No response,No response,No response
Services,No,No,Very frequently,No response,No response,No response,No response
Project,No,Yes,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Services,Yes,Yes,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Office,No response,No response,No response,Yes,No,Familiar,Yes
Project,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Manufacturing,Yes,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,No,Not familiar,Yes
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Office,No response,No response,No response,Yes,Yes,Somewhat familiar,Yes
Office,No response,No response,No response,Yes,Yes,Familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Services,Yes,No,Before ever job task,No response,No response,No response,No response
Services,Yes,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Services,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Familiar,Yes
Project,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,No,No,Familiar,Yes
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Office,No response,No response,No response,Yes,No,Familiar,Yes
Office,No response,No response,No response,Yes,No,Somewhat familiar,No
Services,No,Yes,Before ever job task,No response,No response,No response,No response
Manufacturing,No,No,Frequently,No response,No response,No response,No response
Project,No,Yes,Frequently,No response,No response,No response,No response
Services,Yes,Yes,Very frequently,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Sometimes,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Project,No,No,Very frequently,No response,No response,No response,No response
Manufacturing,No,No,Before ever job task,No response,No response,No response,No response
Project,No,No,Before ever job task,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Project,No,No,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,Yes,Very familiar,Yes
Office,No response,No response,No response,Yes,No,Familiar,Yes
Services,Yes,Yes,Frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Office,No response,No response,No response,Yes,No,Very familiar,Yes
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Project,No,No,Sometimes,No response,No response,No response,No response
Manufacturing,No,No,Very frequently,No response,No response,No response,No response
Services,No,Yes,Very frequently,No response,No response,No response,No response
Office,No response,No response,No response,Yes,No,Somewhat familiar,Yes
Project,No,No,Very frequently,No response,No response,No response,No response
Services,No,No,Before ever job task,No response,No response,No response,No response
